_id,valid,nominee2024Id,userId,createdAt,updatedAt
cd950efd-6068-4943-ba95-29b562762fe8,false,ba6eeea6-5b83-48f0-98a6-8659ad792503,clvv0od210000mn0cpe1t7t10,2024-05-07T08:42:31.753Z,2024-05-07T08:42:44.348Z
11861363-cc4c-49a6-a84d-868c90ab6757,false,ba6eeea6-5b83-48f0-98a6-8659ad792503,clvv0od210000mn0cpe1t7t10,2024-05-07T08:42:32.826Z,2024-05-07T08:42:44.348Z
dffe9c7e-5cbf-4c21-90fa-0772b37c84ec,true,ba6eeea6-5b83-48f0-98a6-8659ad792503,clvwfaeei0000ld0ctcglr55e,2024-05-07T13:26:13.668Z,2024-05-07T13:26:13.668Z
089838da-e684-4fad-8776-ba2f418fd699,true,ba6eeea6-5b83-48f0-98a6-8659ad792503,clvwfaeei0000ld0ctcglr55e,2024-05-07T13:26:16.660Z,2024-05-07T13:26:16.660Z
dbd2e24a-4bff-47fd-9b7f-628dc7e83db7,true,33c36e5e-3afc-4934-b81d-b8cac0776c78,clvwpxkw40000lc0cobtm5x0k,2024-05-07T18:24:20.396Z,2024-05-07T18:24:20.396Z
6b94383c-fe37-45cc-a5e0-87fc40561368,true,33c36e5e-3afc-4934-b81d-b8cac0776c78,clnetga4g0000mj08l3dxmpt2,2024-05-07T18:26:20.773Z,2024-05-07T18:26:20.773Z
0282633e-81f0-4a58-aa16-2ae11147a588,true,33c36e5e-3afc-4934-b81d-b8cac0776c78,clvwq2tma0000l40cg19is0w3,2024-05-07T18:27:18.525Z,2024-05-07T18:27:18.525Z
5ea52fbd-a031-4c53-977f-b8202b95e52c,false,ba6eeea6-5b83-48f0-98a6-8659ad792503,clvwq2tma0000l40cg19is0w3,2024-05-07T18:29:51.806Z,2024-05-07T18:30:01.715Z
6526c558-25dc-40e8-901f-f30f93c05b96,true,b1f40e3f-dfd6-4074-bd9d-9442e24b5070,clvxgywog0000l70cbkna01kf,2024-05-08T07:53:24.899Z,2024-05-08T07:53:24.899Z
7727d14f-72f3-4969-9e51-5f9d23272c24,true,b1f40e3f-dfd6-4074-bd9d-9442e24b5070,clvxgywog0000l70cbkna01kf,2024-05-08T07:53:25.541Z,2024-05-08T07:53:25.541Z
16107c61-049c-43ec-ab29-50da602aa04c,true,b1f40e3f-dfd6-4074-bd9d-9442e24b5070,clntwzbm70000k008haxpzoba,2024-05-08T12:58:31.974Z,2024-05-08T12:58:31.974Z
09992260-c46d-4c99-bc76-ee7272d651c3,true,ba6eeea6-5b83-48f0-98a6-8659ad792503,cln7o8hph0000md08xqx2ss8h,2024-05-10T08:14:41.078Z,2024-05-10T08:14:41.078Z
bb1da6ef-cfa9-4e8e-89eb-497dd491a193,true,ba6eeea6-5b83-48f0-98a6-8659ad792503,cln7o8hph0000md08xqx2ss8h,2024-05-10T08:14:45.402Z,2024-05-10T08:14:45.402Z
0911a141-9700-4281-afe4-9823c32c5590,true,ba6eeea6-5b83-48f0-98a6-8659ad792503,cln7o8hph0000md08xqx2ss8h,2024-05-10T08:14:45.587Z,2024-05-10T08:14:45.587Z
89d7ca67-e178-481d-934b-d61abeb52b0c,true,ba6eeea6-5b83-48f0-98a6-8659ad792503,cllyvte5g0000my08lk4wlqco,2024-05-11T07:58:29.804Z,2024-05-11T07:58:29.804Z
902618ce-9465-4e9b-9a3c-90064236cdeb,false,ba6eeea6-5b83-48f0-98a6-8659ad792503,clvv0od210000mn0cpe1t7t10,2024-05-12T07:02:09.600Z,2024-05-12T07:02:18.749Z
9c056ad6-a45d-47fc-9006-4a06c33cb909,false,ba6eeea6-5b83-48f0-98a6-8659ad792503,clvv0od210000mn0cpe1t7t10,2024-05-12T07:02:14.945Z,2024-05-12T07:02:18.749Z
8f5dd158-c44d-4736-9754-c3005860902f,false,ba6eeea6-5b83-48f0-98a6-8659ad792503,clm0w8gey00008qoqj6thtfmt,2024-05-12T07:45:40.972Z,2024-05-12T07:46:39.856Z
ccecfa2a-626d-404e-95f5-a39459ad116f,false,b1f40e3f-dfd6-4074-bd9d-9442e24b5070,clqyrxlx30000l70801552omh,2024-05-14T03:30:23.674Z,2024-05-14T03:30:31.709Z
cb622986-1119-4bcb-a733-314c88cfe24f,true,ba6eeea6-5b83-48f0-98a6-8659ad792503,clmyusn7z0000mg08ihwgzbty,2024-05-20T09:17:21.448Z,2024-05-20T09:17:21.448Z
3537c301-ef17-4a90-a5fd-fd2955bb4940,true,ba6eeea6-5b83-48f0-98a6-8659ad792503,clmyusn7z0000mg08ihwgzbty,2024-05-20T09:17:27.395Z,2024-05-20T09:17:27.395Z
7688983c-9d1e-447d-b493-01764677b415,true,33c36e5e-3afc-4934-b81d-b8cac0776c78,clvwpyytv0000js0c39fxxhki,2024-05-20T15:59:20.633Z,2024-05-20T15:59:20.633Z
6138d8d4-54e3-4a90-a025-b9f3c45be1b6,true,33c36e5e-3afc-4934-b81d-b8cac0776c78,clvwpyytv0000js0c39fxxhki,2024-05-20T15:59:22.248Z,2024-05-20T15:59:22.248Z
153f086e-bc25-4b60-a4f9-617a6d5f8d0d,true,ba6eeea6-5b83-48f0-98a6-8659ad792503,clwjg15c10000l10cfwdmpjzr,2024-05-23T16:09:37.525Z,2024-05-23T16:09:37.525Z
f78bdb67-25c2-405a-bc4a-58dfde84bb56,false,b1f40e3f-dfd6-4074-bd9d-9442e24b5070,clvwpxkw40000lc0cobtm5x0k,2024-05-24T15:26:53.154Z,2024-05-24T15:27:07.543Z
c025caf1-6b98-47b4-9ac5-c0e521fb9eaf,false,b1f40e3f-dfd6-4074-bd9d-9442e24b5070,clvwpxkw40000lc0cobtm5x0k,2024-05-24T15:26:54.334Z,2024-05-24T15:27:07.544Z
bb55734b-5b6f-4e76-b854-c65906cd1c37,true,ba6eeea6-5b83-48f0-98a6-8659ad792503,clmehbong0000mp0803qyup1u,2024-05-24T19:11:13.681Z,2024-05-24T19:11:13.681Z
81b1cc40-530b-4b81-9bd7-8da19cc994b5,false,ba6eeea6-5b83-48f0-98a6-8659ad792503,clnajjuur0000jw08024hzsvd,2024-10-08T05:47:37.473Z,2024-10-08T05:47:51.778Z
0c5c2459-4e23-4552-a0be-adedce99f1df,false,33c36e5e-3afc-4934-b81d-b8cac0776c78,clnajjuur0000jw08024hzsvd,2024-10-08T05:47:45.176Z,2024-10-08T05:47:48.704Z
